Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRMBasicFunctionality,,Navigating through web page Orange HRM and perform some actions in web page,2018-06-12 17:26:40,2018-06-12 17:26:43,2.990s,FAILED
,,,,,,
Test Cases/Login,,Login to Orange HRM Website,2018-06-12 17:26:41,2018-06-12 17:26:42,0.904s,FAILED
"Comment - ""Open Browser as Specified""",,,2018-06-12 17:26:41,2018-06-12 17:26:41,0.014s,PASSED
setText,,Enter Username,2018-06-12 17:26:41,2018-06-12 17:26:42,0.445s,FAILED
,,,,,,
Test Cases/AddEmployee,,,2018-06-12 17:26:42,2018-06-12 17:26:42,0.253s,FAILED
navigateToUrl,,Navigate to Employee List Page,2018-06-12 17:26:42,2018-06-12 17:26:42,0.034s,FAILED
,,,,,,
Test Cases/AddUser,,Add an User,2018-06-12 17:26:42,2018-06-12 17:26:42,0.265s,FAILED
navigateToUrl,,Navigate to User Page,2018-06-12 17:26:42,2018-06-12 17:26:42,0.041s,FAILED
,,,,,,
Test Cases/AddVacancy,,Adding Employment Vacancy,2018-06-12 17:26:42,2018-06-12 17:26:43,0.443s,FAILED
callTestCase,,,2018-06-12 17:26:42,2018-06-12 17:26:42,0.003s,NOT_RUN
navigateToUrl,,Navigate to Job Vacancy Page,2018-06-12 17:26:42,2018-06-12 17:26:42,0.005s,FAILED
,,,,,,
Test Cases/Logout,,Logging out of Web Application,2018-06-12 17:26:43,2018-06-12 17:26:43,0.263s,FAILED
navigateToUrl,,Navigate to Main Page,2018-06-12 17:26:43,2018-06-12 17:26:43,0.004s,FAILED
